date,amount,ref,desc
2026-05-03,171170.07,INV-10122,Quantum Office Supplies invoice INV-10122
2026-05-10,297690.51,INV-10007,Everwood Furniture invoice INV-10007
2026-06-24,67365.77,INV-10368,Delta Machine Works invoice INV-10368
2026-05-23,98362.04,INV-10327,Sunrise Foods Pvt Ltd invoice INV-10327
2026-05-12,25077.37,INV-10219,Harbor Freight Traders invoice INV-10219
2026-07-04,66732.43,INV-10428,Ironclad Security Services invoice INV-10428
2026-07-18,6721.62,INV-10382,Sunrise Foods Pvt Ltd invoice INV-10382
2026-07-07,65288.32,INV-10033,Copperfield Legal Associates invoice INV-10033
2026-05-12,195178.83,INV-10152,Pinecrest Realty invoice INV-10152
2026-05-13,170003.65,INV-10251,Delta Machine Works invoice INV-10251
2026-07-18,333204.38,INV-10084,Hilltop Energy Corp invoice INV-10084
2026-06-06,55944.53,INV-10281,Bluepeak Logistics invoice INV-10281
2026-07-10,18068.81,INV-10453,Falcon Freight Systems invoice INV-10453 (payment pending)
2026-07-10,46730.66,INV-10071,Crestview Analytics invoice INV-10071
2026-06-15,72275.18,INV-10088,Delta Machine Works invoice INV-10088
2026-05-30,68664.23,INV-10466,Aster Pharma Ltd invoice INV-10466
2026-05-20,297790.51,INV-10106,Falcon Freight Systems invoice INV-10106
2026-06-29,60499.19,INV-10494,Northgate Retailers invoice INV-10494
2026-06-17,48518.7,INV-10489,Delta Machine Works invoice INV-10489
2026-06-05,3091.87,INV-10481,Vertex Consulting Group invoice INV-10481
2026-06-09,336317.52,INV-10047,Meridian Insurance Co invoice INV-10047
2026-05-14,208872.26,INV-10103,Quantum Office Supplies invoice INV-10103
2026-05-07,113403.65,INV-10283,Brightline Telecom invoice INV-10283
2026-05-25,17400.9,INV-10416,Harbor Freight Traders invoice INV-10416
2026-06-23,95762.77,INV-10294,Zenith Marketing Agency invoice INV-10294
2026-06-04,3698.37,INV-10475,Redwood Construction invoice INV-10475
2026-05-14,321553.28,INV-10233,Everwood Furniture invoice INV-10233
2026-05-14,260104.38,INV-10241,Silverline Textiles invoice INV-10241
2026-05-10,29413.01,INV-10474,Acme Supplies Ltd invoice INV-10474
2026-05-07,350412.41,INV-10226,Harbor Freight Traders invoice INV-10226
2026-07-11,228133.58,INV-10146,Falcon Freight Systems invoice INV-10146
2026-06-16,17078.38,INV-10354,Meridian Insurance Co invoice INV-10354
2026-07-27,26634.31,INV-10245,Granite Point Bank invoice INV-10245
2026-05-27,266634.31,INV-10170,Northgate Retailers invoice INV-10170
2026-07-13,35832.43,INV-10419,Ironclad Security Services invoice INV-10419
2026-06-06,4059.85,INV-10080,Crestview Analytics invoice INV-10080
2026-06-18,242735.04,INV-10130,Zenith Marketing Agency invoice INV-10130
2026-06-19,72467.88,INV-10185,Aster Pharma Ltd invoice INV-10185
2026-05-23,141269.34,INV-10067,Northgate Retailers invoice INV-10067
2026-06-27,80038.69,INV-10194,Aster Pharma Ltd invoice INV-10194
2026-06-15,190378.1,INV-10039,Bluepeak Logistics invoice INV-10039
2026-05-19,120018.25,INV-10206,Coral Bay Hospitality invoice INV-10206
2026-06-29,36277.37,INV-10279,Falcon Freight Systems invoice INV-10279
2026-07-23,229465.69,INV-10139,Granite Point Bank invoice INV-10139
2026-06-29,38763.06,INV-10365,Hilltop Energy Corp invoice INV-10365
2026-07-09,98497.08,INV-10210,Quantum Office Supplies invoice INV-10210
2026-05-01,255963.5,INV-10056,Pinecrest Realty invoice INV-10056
2026-05-16,349078.1,INV-10074,Aster Pharma Ltd invoice INV-10074
2026-06-24,331912.41,INV-10222,Sunrise Foods Pvt Ltd invoice INV-10222
2026-05-03,35795.62,INV-10155,Silverline Textiles invoice INV-10155
2026-05-06,230154.74,INV-10107,Redwood Construction invoice INV-10107
2026-05-19,10249.55,INV-10437,Aster Pharma Ltd invoice INV-10437
2026-05-23,69009.49,INV-10008,Crestview Analytics invoice INV-10008
2026-06-08,117732.85,INV-10077,Crestview Analytics invoice INV-10077
2026-07-09,97109.49,INV-10043,Redwood Construction invoice INV-10043
2026-05-18,13587.59,INV-10229,Ironclad Security Services invoice INV-10229
2026-05-10,2216.22,INV-10398,Vertex Consulting Group invoice INV-10398
2026-05-16,160135.77,INV-10300,Hilltop Energy Corp invoice INV-10300
2026-07-19,351437.23,INV-10124,Meridian Insurance Co invoice INV-10124
2026-06-25,143005.11,INV-10276,Crestview Analytics invoice INV-10276
2026-05-22,43846.85,INV-10399,Silverline Textiles invoice INV-10399
2026-05-03,90647.45,INV-10323,Brightline Telecom invoice INV-10323
2026-06-05,131432.85,INV-10213,Everwood Furniture invoice INV-10213
2026-06-29,23895.5,INV-10364,Hilltop Energy Corp invoice INV-10364
2026-07-07,23805.41,INV-10378,Falcon Freight Systems invoice INV-10378
2026-05-18,356167.15,INV-10005,Falcon Freight Systems invoice INV-10005
2026-05-07,69328.46,INV-10479,Orbit Manufacturing invoice INV-10479
2026-06-07,51121.62,INV-10440,Northgate Retailers invoice INV-10440
2026-07-23,93397.08,INV-10269,Ironclad Security Services invoice INV-10269
2026-05-20,8850.41,INV-10467,Granite Point Bank invoice INV-10467
2026-05-17,217173.72,INV-10288,Northgate Retailers invoice INV-10288
2026-06-28,258578.83,INV-10271,Granite Point Bank invoice INV-10271
2026-07-20,297528.47,INV-10264,Sunrise Foods Pvt Ltd invoice INV-10264
2026-05-31,229482.48,INV-10092,Redwood Construction invoice INV-10092
2026-05-14,173651.82,INV-10141,Nimbus Cloud Services invoice INV-10141
2026-06-11,10780.18,INV-10451,Everwood Furniture invoice INV-10451
2026-07-19,55255.86,INV-10387,Sunrise Foods Pvt Ltd invoice INV-10387
2026-07-19,131811.68,INV-10200,Crestview Analytics invoice INV-10200
2026-07-08,46050.45,INV-10375,Falcon Freight Systems invoice INV-10375
2026-05-26,184048.91,INV-10350,Crestview Analytics invoice INV-10350
2026-05-25,47759.46,INV-10417,Harbor Freight Traders invoice INV-10417
2026-07-01,127714.6,INV-10176,Falcon Freight Systems invoice INV-10176
2026-07-17,72183.74,INV-10482,Hilltop Energy Corp invoice INV-10482
2026-07-10,113234.31,INV-10319,Hilltop Energy Corp invoice INV-10319
2026-05-22,4855.47,INV-10015,Acme Supplies Ltd invoice INV-10015
2026-07-09,355099.27,INV-10247,Silverline Textiles invoice INV-10247
2026-06-18,308251.82,INV-10009,Aster Pharma Ltd invoice INV-10009
2026-06-23,299465.69,INV-10270,Aster Pharma Ltd invoice INV-10270
2026-07-05,20274.45,INV-10315,Brightline Telecom invoice INV-10315
2026-05-18,66788.29,INV-10373,Hilltop Energy Corp invoice INV-10373
2026-07-02,266049.64,INV-10191,Crestview Analytics invoice INV-10191
2026-06-19,19448.91,INV-10118,Aster Pharma Ltd invoice INV-10118
2026-06-07,349443.8,INV-10100,Zenith Marketing Agency invoice INV-10100
2026-07-06,8948.65,INV-10425,Ironclad Security Services invoice INV-10425
2026-06-03,97753.28,INV-10021,Crestview Analytics invoice INV-10021
2026-07-25,32446.79,INV-10458,Acme Supplies Ltd invoice INV-10458 (payment pending)
2026-07-29,117016.79,INV-10328,Crestview Analytics invoice INV-10328
2026-05-22,227691.24,INV-10150,Bluepeak Logistics invoice INV-10150
2026-05-17,298980.29,INV-10198,Crestview Analytics invoice INV-10198
2026-07-04,23432.43,INV-10431,Ironclad Security Services invoice INV-10431
2026-07-29,290910.95,INV-10136,Pinecrest Realty invoice INV-10136
2026-05-10,11881.98,INV-10396,Vertex Consulting Group invoice INV-10396
2026-06-04,2218.7,INV-10492,Meridian Insurance Co invoice INV-10492
2026-07-18,200713.14,INV-10167,Falcon Freight Systems invoice INV-10167
2026-05-29,3857.66,INV-10220,Acme Supplies Ltd invoice INV-10220
2026-05-12,314840.88,INV-10011,Meridian Insurance Co invoice INV-10011
2026-05-22,66104.5,INV-10403,Orbit Manufacturing invoice INV-10403
2026-07-13,44863.06,INV-10422,Ironclad Security Services invoice INV-10422
2026-05-12,156518.98,INV-10058,Northgate Retailers invoice INV-10058
2026-06-08,102657.66,INV-10343,Sunrise Foods Pvt Ltd invoice INV-10343
2026-05-25,50591.89,INV-10415,Harbor Freight Traders invoice INV-10415
2026-05-16,309048.91,INV-10286,Meridian Insurance Co invoice INV-10286
2026-07-24,179994.89,INV-10101,Meridian Insurance Co invoice INV-10101
2026-07-09,325361.31,INV-10298,Sunrise Foods Pvt Ltd invoice INV-10298
2026-07-13,143172.99,INV-10064,Nimbus Cloud Services invoice INV-10064
2026-07-28,24474.77,INV-10393,Sunrise Foods Pvt Ltd invoice INV-10393
2026-05-01,191628.47,INV-10002,Aster Pharma Ltd invoice INV-10002
2026-07-01,363727.01,INV-10093,Hilltop Energy Corp invoice INV-10093
2026-05-06,7823.42,INV-10412,Ironclad Security Services invoice INV-10412
2026-05-06,27029.73,INV-10411,Ironclad Security Services invoice INV-10411
2026-06-21,238276.64,INV-10054,Nimbus Cloud Services invoice INV-10054
2026-07-04,283632.85,INV-10178,Delta Machine Works invoice INV-10178
2026-06-20,195129.2,INV-10304,Bluepeak Logistics invoice INV-10304
2026-07-12,32058.56,INV-10360,Granite Point Bank invoice INV-10360
2026-06-17,112439.42,INV-10052,Crestview Analytics invoice INV-10052
2026-05-29,52915.33,INV-10182,Meridian Insurance Co invoice INV-10182
2026-05-21,12390.99,INV-10410,Orbit Manufacturing invoice INV-10410
2026-07-10,208485.4,INV-10018,Brightline Telecom invoice INV-10018
2026-07-14,229305.11,INV-10183,Falcon Freight Systems invoice INV-10183
2026-05-03,13824.82,INV-10127,Falcon Freight Systems invoice INV-10127
2026-07-18,17718.92,INV-10383,Sunrise Foods Pvt Ltd invoice INV-10383
2026-05-19,335284.67,INV-10237,Delta Machine Works invoice INV-10237
2026-05-14,51979.56,INV-10189,Northgate Retailers invoice INV-10189
2026-06-28,2723.36,INV-10331,Aster Pharma Ltd invoice INV-10331
2026-06-25,21257.8,INV-10461,Granite Point Bank invoice INV-10461 (payment pending)
2026-06-10,42527.03,INV-10445,Everwood Furniture invoice INV-10445
2026-07-09,294848.18,INV-10202,Delta Machine Works invoice INV-10202
2026-06-10,70219.82,INV-10449,Everwood Furniture invoice INV-10449
2026-06-18,15867.88,INV-10112,Redwood Construction invoice INV-10112
2026-05-05,193113.14,INV-10023,Orbit Manufacturing invoice INV-10023
2026-05-20,18401.46,INV-10110,Meridian Insurance Co invoice INV-10110
2026-05-20,146915.33,INV-10173,Zenith Marketing Agency invoice INV-10173
2026-06-08,266925.55,INV-10142,Aster Pharma Ltd invoice INV-10142
2026-06-02,259316.06,INV-10059,Granite Point Bank invoice INV-10059
2026-06-25,4791.89,INV-10367,Delta Machine Works invoice INV-10367
2026-06-17,249757.66,INV-10260,Northgate Retailers invoice INV-10260
2026-06-20,113138.69,INV-10347,Zenith Marketing Agency invoice INV-10347
2026-07-29,158502.19,INV-10027,Coral Bay Hospitality invoice INV-10027
2026-05-26,360998.54,INV-10070,Vertex Consulting Group invoice INV-10070
2026-07-20,16262.6,INV-10497,Northgate Retailers invoice INV-10497
2026-06-03,139198.54,INV-10116,Delta Machine Works invoice INV-10116
2026-06-08,48245.95,INV-10439,Northgate Retailers invoice INV-10439
2026-06-14,133806.57,INV-10076,Northgate Retailers invoice INV-10076
2026-05-22,24432.43,INV-10406,Orbit Manufacturing invoice INV-10406
2026-07-13,194587.59,INV-10061,Orbit Manufacturing invoice INV-10061
2026-06-09,358324.82,INV-10134,Hilltop Energy Corp invoice INV-10134
2026-05-25,78843.8,INV-10147,Redwood Construction invoice INV-10147
2026-05-03,25246.34,INV-10463,Acme Supplies Ltd invoice INV-10463
2026-07-09,294134.31,INV-10132,Hilltop Energy Corp invoice INV-10132
2026-07-10,51156.76,INV-10362,Granite Point Bank invoice INV-10362
2026-05-19,14173.98,INV-10469,Harbor Freight Traders invoice INV-10469
2026-06-15,7292.79,INV-10370,Redwood Construction invoice INV-10370
2026-07-13,10479.28,INV-10421,Ironclad Security Services invoice INV-10421
2026-07-06,175229.93,INV-10274,Copperfield Legal Associates invoice INV-10274
2026-05-29,58155.28,INV-10484,Crestview Analytics invoice INV-10484
2026-07-11,315931.39,INV-10050,Aster Pharma Ltd invoice INV-10050
2026-05-18,66487.39,INV-10374,Hilltop Energy Corp invoice INV-10374
2026-07-28,2691.89,INV-10389,Sunrise Foods Pvt Ltd invoice INV-10389
2026-06-16,26692.79,INV-10372,Redwood Construction invoice INV-10372
2026-07-05,85096.35,INV-10308,Everwood Furniture invoice INV-10308
2026-05-04,198297.81,INV-10096,Vertex Consulting Group invoice INV-10096
2026-07-27,17318.02,INV-10388,Sunrise Foods Pvt Ltd invoice INV-10388
2026-05-29,83959.85,INV-10254,Falcon Freight Systems invoice INV-10254
