date,amount,ref,desc
2026-06-27,80038.69,TXN90151,Aster Pharma Ltd - INV-10194 payment
2026-05-29,3857.66,TXN90167,Acme Supplies Ltd - INV-10220 payment
2026-05-23,69009.49,TXN90007,Crestview Analytics - INV-10008 payment
2026-06-15,4730.77,TXN90294,Interest credit
2026-07-27,62368.46,TXN90291,Coral Bay Hospitality - combined settlement INV-10441+INV-10442
2026-06-09,10025.64,TXN90304,Bank service charge
2026-06-23,195129.2,TXN90231,Bluepeak Logistcs pymt ref 10304
2026-05-21,25246.34,TXN90307,Orbit Manufacturing - unrelated payment TXN90307
2026-06-18,113138.69,TXN90256,ZENITH MKTG AGENCY pymt ref 10347
2026-06-18,308251.82,TXN90009,Aster Pharma Ltd - INV-10009 payment
2026-05-16,349078.1,TXN90053,Aster Pharma Ltd - INV-10074 payment
2026-07-12,325361.31,TXN90227,SUNRISE FOODS pymt ref 10298
2026-05-18,133275.68,TXN90268,Hilltop Energy Corp - combined settlement INV-10373+INV-10374
2026-05-27,163588.32,TXN90250,Orbit Manufactring pymt ref 10339
2026-07-11,91567.88,TXN90070,Harbor Freight Traders - INV-10098 payment
2026-05-07,53696.48,TXN90320,Orbit Manufacturing partial/adjusted payment TXN90320
2026-05-29,352809.49,TXN90163,Aster Pharma Ltd - INV-10215 payment
2026-06-03,139198.54,TXN90090,Delta Machine Works - INV-10116 payment
2026-06-14,133806.57,TXN90055,Northgate Retailers - INV-10076 payment
2026-07-11,315931.39,TXN90034,Aster Pharma Ltd - INV-10050 payment
2026-06-06,4059.85,TXN90059,Crestview Analytics - INV-10080 payment
2026-06-05,131432.85,TXN90161,Everwood Furniture - INV-10213 payment
2026-05-12,4664.96,TXN90303,Interest credit
2026-05-12,156518.98,TXN90042,Northgate Retailers - INV-10058 payment
2026-06-11,123527.03,TXN90293,Everwood Furniture - combined settlement INV-10445+INV-10449+INV-10451
2026-06-19,72467.88,TXN90145,Aster Pharma Ltd - INV-10185 payment
2026-05-20,297790.51,TXN90079,Falcon Freight Systems - INV-10106 payment
2026-07-21,18279.08,TXN90338,Northgate Retailers partial/adjusted payment TXN90338
2026-05-18,356167.15,TXN90003,Falcon Freight Systems - INV-10005 payment
2026-07-16,192.31,TXN90300,Unidentified wire transfer
2026-06-15,72275.18,TXN90063,Delta Machine Works - INV-10088 payment
2026-05-04,90647.45,TXN90240,BRIGHT LINE TELECOM pymt ref 10323
2026-07-03,338226.28,TXN90246,Meridian Insur Co pymt ref 10333
